"Date","Chrome","Safari","Edge","Firefox","Opera","Samsung Internet","UC Browser","Android","360 Safe Browser","Yandex Browser","QQ Browser","IE","Coc Coc","Whale Browser","KaiOS","Mozilla","Puffin","Edge Legacy","Instabridge","Sogou Explorer","Sony PS4","Unknown","Chromium","Other"
2022-12,64.68,18.29,4.23,3.01,2.25,3.05,1.72,0.82,0.39,0.26,0.29,0.28,0.13,0.11,0.06,0.07,0.09,0.05,0.08,0.05,0.02,0.02,0.01,0.05
2023-01,65.43,18.69,4.46,3,2.4,2.61,0.88,0.77,0.36,0.23,0.22,0.25,0.12,0.11,0.06,0.07,0.08,0.05,0.07,0.04,0.02,0.02,0.01,0.05
2023-02,65.76,18.84,4.28,2.93,2.26,2.59,0.88,0.74,0.32,0.23,0.2,0.25,0.16,0.11,0.08,0.07,0.08,0.04,0.06,0.04,0.02,0.02,0.01,0.05
2023-03,64.76,19.52,4.64,2.93,2.34,2.57,0.89,0.69,0.23,0.23,0.2,0.26,0.19,0.11,0.07,0.07,0.07,0.04,0.05,0.03,0.02,0.01,0.01,0.07
2023-04,63.45,20.48,4.97,2.76,2.41,2.59,0.93,0.74,0.2,0.27,0.21,0.24,0.2,0.12,0.07,0.07,0.07,0.04,0.05,0.03,0.02,0.01,0.01,0.07
2023-05,62.87,20.7,5.32,2.77,2.82,2.5,0.79,0.63,0.21,0.24,0.2,0.21,0.2,0.11,0.1,0.07,0.06,0.04,0.04,0.03,0.02,0.01,0.01,0.05
2023-06,62.58,20.47,5.27,2.81,3.21,2.39,1.02,0.62,0.25,0.22,0.26,0.19,0.22,0.09,0.1,0.06,0.02,0.04,0.04,0.03,0.02,0.01,0.01,0.06
2023-07,63.55,19.95,5.14,2.79,2.98,2.38,1.01,0.6,0.27,0.27,0.28,0.18,0.14,0.1,0.08,0.06,0.03,0.04,0.02,0.04,0.02,0.01,0.01,0.05
2023-08,63.56,19.84,5.43,2.95,2.74,2.32,0.98,0.54,0.3,0.28,0.3,0.17,0.14,0.09,0.05,0.06,0.03,0.05,0.03,0.04,0.01,0.01,0.01,0.06
2023-09,63.45,19.91,5.29,3.03,2.91,2.31,0.87,0.56,0.28,0.3,0.29,0.17,0.12,0.1,0.06,0.06,0.03,0.05,0.03,0.03,0.01,0.01,0.01,0.12
2023-10,63.17,19.9,5.46,3.02,3.31,2.33,0.78,0.5,0.26,0.28,0.26,0.16,0.11,0.1,0.06,0.08,0.03,0.06,0.02,0.03,0.01,0.01,0.01,0.06
2023-11,62.92,19.97,5.5,3.24,3.15,2.45,0.79,0.44,0.26,0.3,0.23,0.16,0.13,0.08,0.06,0.07,0.02,0.06,0.02,0.03,0.01,0.01,0.01,0.08
2023-12,64.7,18.59,4.96,3.35,2.86,2.6,0.87,0.42,0.28,0.32,0.27,0.18,0.14,0.08,0.08,0.04,0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.08
